IKS_2023,IKE_2023,IKL_2023,STATUS_ENCODED
0.7943,0.85,0.5333,3
0.7086,0.6333,0.5333,2
0.7029,0.6167,0.5333,2
0.6743,0.5333,0.6,2
0.7029,0.8,0.6667,3
0.6229,0.6333,0.6,2
0.5771,0.6667,0.6,2
0.7543,0.65,0.6667,2
0.8457,0.7833,0.8,3
0.76,0.6333,0.6667,2
0.6857,0.6167,0.7333,2
0.8286,0.6833,0.6667,3
0.7086,0.55,0.8667,3
0.84,0.9,0.6667,3
0.8171,0.65,0.8,3
0.84,0.5833,0.6667,2
0.9086,0.7333,0.8,3
0.8457,0.6167,0.6,2
0.84,0.55,0.5333,2
0.7886,0.6333,0.7333,3
0.7886,0.5833,0.6,2
0.8743,0.7167,0.5333,3
0.7886,0.6167,0.8,3
0.7143,0.55,0.8,2
0.6857,0.5,0.8667,2
0.6971,0.5,0.8,2
0.8971,0.9167,0.7333,4
0.7829,0.4667,0.8,2
0.88,0.7,0.6667,3
0.7029,0.5833,0.6,2
0.7886,0.65,0.6667,2
0.7943,0.5833,0.6,2
0.6914,0.5,0.6667,2
0.7486,0.5333,0.6,2
0.8229,0.7167,0.6,3
0.7714,0.5333,0.5333,2
0.7429,0.4667,0.6,2
0.76,0.4667,0.6667,2
0.6914,0.4667,0.6,1
0.7829,0.5333,0.5333,2
0.7657,0.5667,0.6,2
0.76,0.5167,0.6,2
0.7429,0.65,0.5333,2
0.7029,0.55,0.6,2
0.6686,0.5833,0.6667,2
0.72,0.6333,0.6,2
0.7257,0.5667,0.6667,2
0.8,0.7333,0.6,3
0.8,0.8,0.8667,4
0.7714,0.6333,0.8667,3
0.7829,0.8167,0.6,3
0.8114,0.6667,0.6,2
0.7657,0.6167,0.6667,2
0.7429,0.6167,0.6667,2
0.6457,0.5,0.6667,2
0.7371,0.7167,0.6667,2
0.7143,0.5333,0.6667,2
0.7943,0.6333,0.6,2
0.8229,0.7167,0.6,3
0.7771,0.6,0.6667,2
0.7543,0.6333,0.7333,2
0.7714,0.7667,0.6667,3
0.7886,0.7167,0.6667,3
0.7543,0.6833,0.6667,2
0.7657,0.5167,0.6,2
0.7943,0.6,0.6,2
0.6971,0.45,0.6,1
0.7771,0.6167,0.6667,2
0.68,0.6,0.6,2
0.7657,0.4,0.5333,1
